invoice_number,invoice_date,due_date,seller_name,seller_address,seller_udyam_id,seller_email,seller_phone,seller_enterprise_size,seller_business_type,seller_enterprise_type,seller_gstin,seller_bank_account,seller_ifsc,seller_msme_scheme,buyer_name,buyer_address,buyer_contact_email,buyer_phone,buyer_gstin,subtotal,gst_rate,cgst,sgst,igst,invoice_amount,payment_terms,transport_mode,vehicle_number,eway_bill_no,po_number,delivery_date,place_of_supply
TAX-2025-0001,14-05-2023,13-06-2023,Mani Fabricators,"90, Phase 2, Ludhiana, PB - 141003",UDYAM-PB-03-0090123,mani.fab@gmail.com,9745345678,Micro,Manufacturing,Cooperative,GSTIN03AABCP8901X1ZX,SB A/C 890123456789,PUNB0008901,PMEGP,Prime Builders India,"60, Sector 18, Noida, UP - 201301",procurement@primebuild.in,0120-6789012,GSTIN09BBBC7890Q1ZX,21150,5,0,0,1057.5,22207.5,Net 30 Days,Courier,TN26AB5363,N/A,PO-2505,23-05-2023,Noida
TXN-2024-0002,23-11-2025,23-12-2025,Anand Carpentry Works,"15, Furniture Nagar, Erode, TN - 638001",UDYAM-TN-11-0055678,anand.carpentry@gmail.com,9812890123,Micro,Manufacturing,Partnership,GSTIN33AABCP3456C2ZX,SB A/C 345678902345,IOB00013456,MUDRA Loan,DeepSea Trading,"28, Port Area, Kochi, KL - 682001",deepsea.trading@gmail.com,0484-9012345,GSTIN32BBBC0123T1ZX,159500,18,0,0,28710.0,188210.0,Net 30 Days,Rail,TN38AB2539,EWB28116766,PO-8900,04-12-2025,Kochi
TXN-2022-0003,19-08-2023,19-08-2023,Arjun Textiles Pvt Ltd,"12, Gandhi Nagar, Coimbatore, TN - 641001",UDYAM-TN-07-0012345,arjun.textiles@gmail.com,9876543210,Micro,Manufacturing,Partnership,GSTIN33AABCP1234Q1ZX,SB A/C 123456789012,SBIN0001234,CGTMSE,Coastal Commodities,"7, Harbour Lane, Mangaluru, KA - 575001",coastal.comm@gmail.com,0824-456789,GSTIN29BBBC4568X1ZX,21150,12,0,0,2538.0,23688.0,Immediate,Own Vehicle,TN59AB2335,EWB31521979,PO-7099,05-09-2023,Mangaluru
BILL-2022-0004,23-02-2023,23-02-2023,Mani Fabricators,"90, Phase 2, Ludhiana, PB - 141003",UDYAM-PB-03-0090123,mani.fab@gmail.com,9745345678,Micro,Manufacturing,LLP,GSTIN03AABCP8901X1ZX,SB A/C 890123456789,PUNB0008901,PMEGP,Prime Builders India,"60, Sector 18, Noida, UP - 201301",procurement@primebuild.in,0120-6789012,GSTIN09BBBC7890Q1ZX,154100,12,0,0,18492.0,172592.0,Immediate,Courier,N/A,EWB87656198,N/A,01-03-2023,Noida
INV-2022-0005,08-10-2024,07-11-2024,Balaji Food Industries,"34, SIDCO Industrial Area, Tirunelveli, TN-627002",UDYAM-TN-29-0089012,balaji.food@gmail.com,9856234567,Small,Manufacturing,Cooperative,GSTIN33AABCP7890W1ZX,SB A/C 789012345678,CNRB0007890,None,Delta Infra Solutions,"52, IT Park, Gurugram, HR - 122001",delta.infra@gmail.com,0124-567890,GSTIN06BBBC5679Y1ZX,97250,12,0,0,11670.0,108920.0,50% Advance + 50% on Delivery,Courier,TN39AB4331,N/A,PO-9505,20-10-2024,Gurugram
MSME-2025-0006,10-01-2024,24-02-2024,Mani Fabricators,"90, Phase 2, Ludhiana, PB - 141003",UDYAM-PB-03-0090123,mani.fab@gmail.com,9745345678,Micro,Manufacturing,LLP,GSTIN03AABCP8901X1ZX,SB A/C 890123456789,PUNB0008901,None,Delta Infra Solutions,"52, IT Park, Gurugram, HR - 122001",delta.infra@gmail.com,0124-567890,GSTIN06BBBC5679Y1ZX,236000,18,0,0,42480.0,278480.0,Net 45 Days,Road,TN82AB7043,N/A,PO-5103,19-01-2024,Gurugram
TXN-2025-0007,16-10-2025,15-11-2025,Arjun Textiles Pvt Ltd,"12, Gandhi Nagar, Coimbatore, TN - 641001",UDYAM-TN-07-0012345,arjun.textiles@gmail.com,9876543210,Micro,Manufacturing,Partnership,GSTIN33AABCP1234Q1ZX,SB A/C 123456789012,SBIN0001234,Udyog Aadhaar,FreshMart Supermarkets,"88, Ring Road, Delhi, DL - 110044",supply@freshmart.in,011-34567890,GSTIN07BBBC4567N1ZX,122250,18,0,0,22005.0,144255.0,Net 30 Days,Rail,TN20AB8455,EWB72171854,N/A,23-10-2025,Delhi
TXN-2024-0008,28-06-2023,28-07-2023,Priya Steel Works,"45, Industrial Estate, Pune, MH - 411019",UDYAM-MH-12-0034567,priya.steel@outlook.com,9823456789,Small,Manufacturing,Proprietorship,GSTIN27AABCP2345R1ZX,SB A/C 234567890123,PUNB0002345,PMEGP,Greenleaf Agro Traders,"71, Agro Complex, Nashik, MH - 422001",greenleaf.agro@gmail.com,0253-1234567,GSTIN27BBBC1235U1ZX,154100,18,0,0,27738.0,181838.0,Net 30 Days,Courier,N/A,EWB28314251,PO-4759,03-07-2023,Nashik
MSME-2023-0009,07-02-2022,09-03-2022,Meena Handicrafts,"56, Handicraft Zone, Jaipur, RJ - 302001",UDYAM-RJ-08-0033456,meena.craft@gmail.com,9845678901,Micro,Manufacturing,Partnership,GSTIN08AABCP1234A2ZX,SB A/C 123456780123,RBIS0011234,None,National Distributors Ltd,"22, Commercial Street, Bengaluru, KA-560027",orders@nationaldist.com,080-23456789,GSTIN29BBBC3456M1ZX,122250,5,0,0,6112.5,128362.5,Net 30 Days,Road,TN74AB2354,EWB59256495,N/A,14-02-2022,Bengaluru
TAX-2024-0010,18-08-2022,17-09-2022,Priya Steel Works,"45, Industrial Estate, Pune, MH - 411019",UDYAM-MH-12-0034567,priya.steel@outlook.com,9823456789,Small,Manufacturing,Cooperative,GSTIN27AABCP2345R1ZX,SB A/C 234567890123,PUNB0002345,MUDRA Loan,Prime Builders India,"60, Sector 18, Noida, UP - 201301",procurement@primebuild.in,0120-6789012,GSTIN09BBBC7890Q1ZX,73100,18,0,0,13158.0,86258.0,50% Advance + 50% on Delivery,Road,N/A,N/A,PO-6406,05-09-2022,Noida
TXN-2023-0011,29-10-2024,13-11-2024,Mani Fabricators,"90, Phase 2, Ludhiana, PB - 141003",UDYAM-PB-03-0090123,mani.fab@gmail.com,9745345678,Micro,Manufacturing,Cooperative,GSTIN03AABCP8901X1ZX,SB A/C 890123456789,PUNB0008901,CGTMSE,Bharat Industrial Supply,"33, GIDC Estate, Ahmedabad, GJ - 380024",purchase@bharatind.com,079-45678901,GSTIN24BBBC5678O1ZX,92100,5,0,0,4605.0,96705.0,Net 15 Days,Rail,N/A,EWB85498410,PO-5457,09-11-2024,Ahmedabad
TXN-2023-0012,21-04-2022,05-06-2022,Ravi Chemicals,"99, Chemical Park, Vadodara, GJ - 390007",UDYAM-GJ-10-0044567,ravi.chem@outlook.com,9823789012,Medium,Manufacturing,Private Limited,GSTIN24AABCP2345B2ZX,SB A/C 234567891234,SBIN0012345,CGTMSE,Horizon Pharma Dist.,"36, Med City, Hyderabad, TS - 500072",horizon.pharma@gmail.com,040-2345678,GSTIN36BBBC2346V1ZX,73100,5,0,0,3655.0,76755.0,Net 45 Days,Own Vehicle,TN69AB3620,N/A,PO-6415,06-05-2022,Hyderabad
BILL-2022-0013,06-03-2022,20-04-2022,Kumar Printing Press,"8, Press Colony, Coimbatore, TN - 641018",UDYAM-TN-14-0021234,kumar.press@gmail.com,9734456789,Micro,Services,Partnership,GSTIN33AABCP9012I2ZX,SB A/C 901234568901,IOBA0019012,None,Delta Infra Solutions,"52, IT Park, Gurugram, HR - 122001",delta.infra@gmail.com,0124-567890,GSTIN06BBBC5679Y1ZX,21150,5,0,0,1057.5,22207.5,Net 45 Days,Rail,N/A,EWB77165081,PO-3732,13-03-2022,Gurugram
